"transaction_id","product_id","user_id","transaction_timestamp","revenue","cost"
1,109,1001,2023-09-04,202,292
2,103,1002,2023-06-29,535,135
3,110,1004,2022-03-25,960,333
4,110,1004,2022-10-25,370,115
5,108,1009,2023-11-09,206,219
6,104,1010,2022-01-31,171,94
7,108,1001,2023-10-29,800,111
8,107,1009,2023-01-01,120,490
9,104,1004,2022-06-22,714,183
10,102,1009,2022-06-05,221,333
11,102,1007,2023-09-27,566,77
12,107,1004,2023-12-15,314,157
13,106,1008,2022-12-24,430,93
14,107,1010,2022-09-29,558,389
15,107,1005,2022-08-26,187,335
16,108,1001,2023-09-30,472,495
17,101,1003,2023-09-10,199,380
18,102,1007,2023-11-08,971,177
19,101,1006,2022-06-26,763,397
20,107,1005,2022-06-23,230,280
21,106,1003,2022-01-19,761,239
22,102,1004,2023-05-28,408,274
23,104,1006,2022-05-31,869,434
24,104,1002,2022-11-06,443,426
25,104,1002,2022-09-12,591,332
26,109,1007,2022-08-05,513,495
27,108,1002,2023-11-03,905,170
28,103,1006,2022-02-23,485,165
29,107,1006,2023-08-24,291,282
30,103,1010,2022-08-05,376,308
31,105,1005,2022-09-30,260,408
32,108,1001,2023-05-14,559,247
33,104,1008,2023-01-31,413,460
34,102,1009,2022-11-07,121,186
35,108,1002,2023-06-12,352,367
36,109,1007,2023-10-18,847,214
37,102,1002,2023-02-21,956,274
38,101,1009,2022-09-15,660,356
39,109,1005,2022-01-22,574,283
40,101,1010,2022-03-31,158,221
41,102,1006,2023-11-13,610,201
42,104,1010,2022-07-22,781,364
43,103,1004,2022-05-19,575,423
44,107,1002,2023-03-27,799,209
45,108,1001,2022-07-26,882,145
46,108,1004,2022-01-30,289,282
47,104,1005,2022-03-26,786,229
48,107,1002,2023-04-09,662,162
49,101,1004,2022-12-04,975,367
50,103,1002,2022-09-26,666,491
51,107,1007,2023-07-20,343,101
52,101,1005,2023-09-03,931,317
53,107,1008,2022-09-01,604,344
54,105,1006,2022-12-05,230,435
55,108,1003,2023-04-16,584,436
56,105,1006,2023-02-02,918,162
57,107,1006,2022-03-31,746,150
58,109,1004,2022-10-27,120,162
59,108,1005,2023-11-30,940,489
60,103,1002,2023-03-24,266,130
61,104,1010,2022-05-28,373,236
62,105,1003,2022-07-17,487,162
63,104,1009,2022-02-04,700,51
64,101,1004,2023-07-05,415,179
65,110,1003,2022-12-05,113,269
66,109,1008,2022-01-02,341,103
67,101,1007,2023-02-08,876,392
68,106,1005,2023-12-20,445,273
69,101,1009,2023-09-19,664,274
70,101,1004,2023-02-23,997,434
71,110,1006,2023-06-18,439,452
72,108,1001,2023-07-13,191,175
73,109,1004,2023-07-31,466,179
74,109,1001,2023-07-27,554,102
75,103,1006,2023-06-05,527,221
76,101,1007,2022-06-03,608,267
77,109,1005,2022-10-10,875,209
78,102,1002,2022-12-01,134,247
79,103,1004,2022-02-24,305,465
80,102,1010,2023-05-31,180,296
81,110,1006,2023-12-17,661,373
82,102,1004,2022-09-14,971,488
83,104,1008,2023-04-30,487,252
84,107,1007,2022-09-01,101,233
85,102,1008,2023-05-31,489,172
86,110,1003,2023-10-21,665,450
87,104,1005,2022-04-07,205,304
88,110,1003,2023-07-14,871,343
89,110,1004,2023-12-01,921,329
90,101,1009,2022-08-22,576,374
91,110,1009,2023-01-29,802,421
92,102,1005,2022-08-29,501,147
93,107,1010,2023-06-02,829,247
94,110,1007,2022-11-14,655,444
95,110,1010,2022-09-11,261,289
96,109,1007,2022-11-09,301,193
97,106,1006,2023-06-26,369,146
98,105,1004,2022-08-18,962,250
99,104,1003,2023-03-07,915,173
100,106,1009,2022-04-09,370,236
101,104,1008,2022-05-30,555,375
102,105,1002,2022-11-23,561,398
103,107,1001,2023-06-01,826,308
104,103,1002,2022-10-22,351,197
105,105,1003,2023-06-11,801,301
106,108,1003,2023-08-05,395,492
107,106,1007,2023-12-03,824,469
108,102,1010,2022-05-16,819,452
109,101,1002,2023-04-24,848,395
110,108,1007,2023-03-19,437,196
111,110,1007,2022-08-22,978,197
112,110,1010,2022-11-12,152,401
113,102,1008,2023-03-02,891,248
114,102,1009,2023-10-10,316,357
115,109,1005,2022-01-01,863,466
116,104,1009,2022-08-25,287,473
117,109,1001,2022-08-11,479,177
118,105,1002,2022-06-13,592,88
119,103,1009,2022-11-30,140,387
120,106,1005,2023-09-03,256,409
121,102,1006,2023-03-27,114,178
122,104,1002,2023-04-17,912,316
123,106,1005,2023-05-24,164,490
124,105,1007,2022-09-08,956,483
125,103,1003,2022-12-28,938,200
126,108,1008,2022-12-10,620,464
127,109,1001,2022-12-10,443,347
128,105,1005,2023-06-09,228,148
129,110,1009,2022-06-15,747,312
130,109,1003,2023-02-02,571,301
131,101,1009,2023-01-03,162,193
132,109,1002,2023-09-09,238,395
133,105,1005,2023-12-01,598,161
134,102,1009,2023-09-11,692,109
135,103,1010,2023-07-26,491,418
136,105,1004,2022-05-12,774,51
137,102,1003,2023-05-27,518,434
138,102,1006,2022-03-07,388,353
139,109,1003,2022-08-09,478,303
140,103,1009,2023-02-05,872,189
141,105,1009,2023-05-31,589,86
142,105,1001,2023-05-07,330,209
143,110,1010,2023-04-26,140,58
144,104,1006,2022-09-18,127,282
145,106,1008,2022-03-14,234,148
146,104,1001,2023-09-28,300,196
147,105,1002,2023-08-07,939,353
148,109,1006,2022-07-02,879,257
149,108,1005,2023-06-07,132,180
150,105,1004,2022-08-30,147,453
151,101,1001,2022-06-24,602,201
152,102,1004,2023-09-19,506,103
153,107,1010,2022-06-04,673,169
154,105,1002,2022-04-25,827,210
155,101,1002,2022-01-19,904,457
156,101,1008,2022-02-05,198,165
157,106,1002,2022-07-10,783,124
158,103,1009,2023-01-05,971,162
159,105,1003,2023-04-20,825,469
160,103,1003,2023-10-23,646,471
161,108,1008,2023-08-20,838,153
162,109,1009,2022-02-26,712,389
163,107,1003,2022-12-20,561,303
164,109,1005,2022-11-18,742,276
165,101,1009,2023-11-20,868,161
166,102,1010,2023-05-05,104,148
167,102,1007,2023-03-24,317,202
168,103,1004,2022-06-01,602,398
169,109,1009,2023-07-12,866,451
170,101,1004,2023-06-25,497,433
171,106,1005,2022-10-26,970,415
172,110,1007,2023-01-19,894,387
173,109,1006,2022-11-07,492,243
174,103,1008,2022-07-09,306,359
175,107,1009,2022-04-25,114,212
176,103,1008,2023-05-25,957,257
177,101,1002,2023-06-19,653,494
178,105,1004,2022-01-05,991,218
179,106,1004,2023-11-25,560,210
180,101,1002,2023-08-07,790,117
181,106,1006,2023-10-31,674,338
182,104,1001,2023-08-22,963,447
183,104,1010,2023-11-19,842,326
184,102,1009,2022-03-24,340,353
185,106,1004,2023-08-28,663,453
186,109,1010,2022-11-27,195,433
187,107,1004,2022-06-19,999,441
188,110,1001,2022-05-17,833,184
189,103,1002,2023-09-17,584,244
190,104,1001,2023-06-25,506,450
191,103,1004,2023-02-07,330,177
192,103,1002,2022-12-27,848,82
193,107,1001,2022-02-09,754,225
194,101,1006,2023-03-09,270,492
195,103,1002,2022-07-13,640,420
196,106,1009,2023-12-14,135,424
197,107,1004,2023-10-21,624,71
198,104,1005,2022-04-05,259,287
199,105,1008,2022-12-21,938,207
200,103,1004,2022-04-14,798,87
